event,meet,stroke,gender,distance,records,entries
14,Tyr Pss Richmond Full Meet Results,Freestyle,Men,50,"[['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.04', '7/27/2019', 'Caeleb Dressel', 'USA'], ['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.04', '7/27/2019', 'Caeleb Dressel', 'USA']]","[[4, 'Diggory Dillingham', 15, 'Unattached MAC', '23.54', '23.45'], [5, 'Caleb Hicks', 23, 'Team Triumph', '23.75', '23.60'], [6, 'Reid Miller', 17, 'SwimMAC Carolina', '23.92', '23.85'], [7, 'Aayush Deshpande', 19, 'FMC Aquatic', '23.99', '24.03'], [9, 'Scotty Buff', 16, 'Greater Toledo Aquatic Club', '24.20', '23.86'], [10, 'Brett Feyerick', 17, ""Nation's Capital Swim Club"", '24.27', '24.00'], [11, 'Cam Abaqueta', 17, 'SwimMAC Carolina', '24.44', '24.21'], [12, 'Jack Doherty', 22, 'Tribe Aquatics', '24.28', '24.50']]"
15,Tyr Pss Richmond Full Meet Results,Breaststroke,Women,200,"[['World', '2:19.11', '8/1/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/7/2009', 'Rebecca Soni', 'Trojan'], ['World', '2:19.11', '8/1/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/7/2009', 'Rebecca Soni', 'Trojan']]","[[5, 'Samantha Tadder', 18, 'Tide Swimming', '2:34.64', '2:33.33'], [6, 'Kaylee Hamblin', 17, 'Mecklenburg Swim Association', '2:39.02', '2:36.00'], [7, 'Meghan Lynch', 17, 'Greenwich YWCA Dolphins Swm Tm', '2:37.80', '2:37.84'], [8, 'Ella Smith', 17, 'Bluefish Swim Club', '2:38.89', '2:39.42'], [9, 'Denise Phelan', 16, 'Team Suffolk', '2:42.19', '2:36.86'], [10, 'Caroline Kudela', 16, 'Mecklenburg Swim Association', '2:43.62', '2:39.77'], [11, 'Julia Stafford', 16, 'Mission Viejo Nadadores', '2:45.03', '2:42.76'], [12, 'Eleanor Sun', 16, ""Nation's Capital Swim Club"", '2:47.20', '2:43.15']]"
16,Tyr Pss Richmond Full Meet Results,Breaststroke,Men,200,"[['World', '2:06.12', '7/26/2019', 'Anton Chupkov', 'RUS'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['World', '2:06.12', '7/26/2019', 'Anton Chupkov', 'RUS'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics']]","[[1, 'Dylan Rhee', 19, 'Asphalt Green Unified Aquatics', '2:21.40', '2:18.11'], [2, 'Ethan Browne', 24, 'Unattached', '2:24.17', '2:20.90'], [3, 'Aiken Do', 16, 'The Fish', '2:26.71', '2:21.60'], [4, 'Tyler Lentine', 17, 'Machine Aquatics', '2:24.14', '2:21.92'], [5, 'Aidan Duffy', 18, 'NOVA of Virginia Aquatics, Inc', '2:23.03', '2:22.04'], [6, 'Luke Rodarte', 22, 'Unattached', '2:24.64', '2:22.17'], [7, 'Coleman McCreery', 18, 'Unattached MSA', '2:26.07', '2:25.98']]"
17,Tyr Pss Richmond Full Meet Results,Backstroke,Women,100,"[['World', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['American', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['U.S. Open', '58.00', '7/28/2018', 'Kathleen Baker', 'Team Elite-NC'], ['World', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['American', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['U.S. Open', '58.00', '7/28/2018', 'Kathleen Baker', 'Team Elite-NC']]","[[5, 'Tess Howley', 16, 'Long Island Aquatic Club', '1:03.35', '1:03.05'], [6, 'Summer Smith', 17, 'Bluefish Swim Club', '1:03.25', '1:03.10'], [7, 'Paige Hall', 17, 'Machine Aquatics', '1:03.44', '1:03.32'], [8, 'Macky Hodges', 16, 'Mission Viejo Nadadores', '1:04.12', '1:04.01'], [9, 'Aislin Farris', 16, 'Bluefish Swim Club', '1:05.17', '1:04.22'], [10, 'Maren Conze', 16, ""Nation's Capital Swim Club"", '1:06.04', '1:05.11'], [11, 'Payton Foster', 14, 'Greenwich YWCA Dolphins Swm Tm', '1:06.42', '1:05.29'], [12, 'Nikki Venema', 20, 'Tide Swimming', '1:05.60', '1:05.73']]"
18,Tyr Pss Richmond Full Meet Results,Backstroke,Men,100,"[['World', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '7/8/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '7/8/2009', 'Aaron Peirsol', 'Longhorn']]","[[6, 'Garrett Boone', 18, 'Unattached MSA', '57.28', '56.75'], [7, 'Collin McKenzie', 17, 'Unattached FISH', '57.21', '56.98'], [8, 'Caleb Maldari', 15, 'Bluefish Swim Club', '57.13', '57.39'], [9, 'J.T. Ewing', 16, 'The Fish', '57.84', '57.14'], [10, 'Billy Swartwout', 18, 'Long Island Aquatic Club', '57.78', '57.35'], [11, 'Brett Feyerick', 17, ""Nation's Capital Swim Club"", '57.83', '57.54'], [12, ""Sam O'Brien"", 18, 'The Fish', '57.57', '57.58'], [13, 'Holden Smith', 17, 'Race Pace Club - KY', '58.85', '58.38'], [14, 'Scotty Buff', 16, 'Greater Toledo Aquatic Club', '1:00.45', '59.12'], [15, 'Cam Abaqueta', 17, 'SwimMAC Carolina', '59.83', '59.14'], [16, 'Reid Miller', 17, 'SwimMAC Carolina', '1:00.48', '59.58']]"
19,Tyr Pss Richmond Full Meet Results,Freestyle,Women,400,"[['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '5/17/2018', 'Katie Ledecky', 'Stanford'], ['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '5/17/2018', 'Katie Ledecky', 'Stanford']]","[[5, 'Erin Gemmell', 16, ""Nation's Capital Swim Club"", '4:19.78', '4:17.50'], [6, 'Claire Dafoe', 16, 'NOVA of Virginia Aquatics, Inc', '4:18.95', '4:18.86'], [7, 'Paige McKenna', 17, ""Nation's Capital Swim Club"", '4:19.97', '4:19.15'], [8, 'Sophia Karras', 17, 'Long Island Aquatic Club', '4:19.54', '4:19.86'], [9, 'Sophia Knapp', 16, 'Tide Swimming', '4:20.97', '4:18.35'], [10, 'Emma Hastings', 16, 'East Carolina Aquatics', '4:20.73', '4:19.03'], [11, 'Miki Dahlke', 22, 'Machine Aquatics', '4:23.38', '4:22.10'], [12, 'Sanna Peterson', 16, 'NOVA of Virginia Aquatics, Inc', '4:22.36', '4:22.42'], [13, 'Samantha Tadder', 18, 'Tide Swimming', '4:25.64', '4:22.80'], [14, 'Maren Conze', 16, ""Nation's Capital Swim Club"", '4:27.28', '4:25.91'], [15, 'Morgan Stickney', 23, 'TAC Titans', '4:50.71', '4:48.60']]"
20,Tyr Pss Richmond Full Meet Results,Freestyle,Men,400,"[['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan'], ['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan']]","[[1, 'Josh Parent', 16, 'Bluefish Swim Club', '4:02.73', '3:59.24'], [2, 'Anders Aistars', 16, 'Mission Viejo Nadadores', '3:59.84', '4:01.81'], [3, 'Peyton Werner', 20, 'FMC Aquatic', '4:06.92', '4:02.29'], [4, 'Jack Stelter', 19, 'Woodberry Forest Swimming', '4:07.83', '4:03.64']]"
21,Tyr Pss Richmond Full Meet Results,Freestyle,Women,1500,"[['World', '15:20.48', '5/17/2018', 'Katie Ledecky', 'Stanford'], ['American', '15:20.48', '5/17/2018', 'Katie Ledecky', 'Stanford'], ['U.S. Open', '15:20.48', '5/17/2018', 'Katie Ledecky', 'Stanford']]","[[5, 'Sophia Karras', 17, 'Long Island Aquatic Club', '16:39.40', '16:49.85'], [6, 'Claire Dafoe', 16, 'NOVA of Virginia Aquatics, Inc', '17:08.56', '16:54.66'], [7, 'Claire Weinstein', 13, 'Westchester Aquatic Club', '17:16.07', '16:59.04'], [9, 'Erin Jachym', 17, 'Bluefish Swim Club', '17:15.67', '17:30.50']]"
22,Tyr Pss Richmond Full Meet Results,Freestyle,Men,1500,"[['World', '14:31.02', '8/4/2012', 'Yang Sun', 'CHN'], ['American', '14:39.48', '8/13/2016', 'Connor Jaeger', 'USA'], ['U.S. Open', '14:45.54', '7/6/2008', 'Peter Vanderkaay', 'Club Wolverine']]",[]
23,Tyr Pss Richmond Full Meet Results,IM,Women,200,"[['World', '2:06.12', '8/3/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '7/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:08.32', '7/29/2018', 'Kathleen Baker', 'Team Elite-NC'], ['World', '2:06.12', '8/3/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '7/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:08.32', '7/29/2018', 'Kathleen Baker', 'Team Elite-NC']]","[[5, 'Bailey Nero', 24, 'North Carolina Aquatic Club', '2:19.27', '2:17.70'], [6, 'Grace Sheble', 18, 'NOVA of Virginia Aquatics, Inc', '2:19.44', '2:18.09'], [7, 'Erin Gemmell', 16, ""Nation's Capital Swim Club"", '2:19.06', '2:18.62'], [8, 'Meghan Lynch', 17, 'Greenwich YWCA Dolphins Swm Tm', '2:21.11', '2:21.39'], [9, 'Caroline Sheble', 18, 'NOVA of Virginia Aquatics, Inc', '2:21.92', '2:18.48'], [10, 'Eleanor Sun', 16, ""Nation's Capital Swim Club"", '2:23.83', '2:20.45'], [11, 'Grace Rainey', 16, 'SwimMAC Carolina', '2:23.13', '2:21.31'], [12, 'Julia Stafford', 16, 'Mission Viejo Nadadores', '2:25.66', '2:23.18'], [13, 'Ella Smith', 17, 'Bluefish Swim Club', '2:27.30', '2:24.59']]"
